specialmove
motor2 0.00 -68.26 -96.39 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -90.53
motor2 0.00 -68.55 -95.51 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -89.65
motor2 -0.29 -68.85 -94.34 0.00 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -88.48
motor2 -0.29 -68.55 -93.46 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -87.30
motor2 -0.29 -69.14 -92.58 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -86.13
motor2 -0.29 -69.43 -91.41 -0.29 -71.19 -123.93
motor1 0.59 -79.69 -125.39 0.00 -62.70 -85.25
motor2 -0.59 -69.43 -90.23 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -83.79
motor2 -0.59 -69.43 -89.36 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -82.91
motor2 -1.17 -70.02 -87.89 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -81.45
motor2 -1.76 -69.43 -87.01 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -80.27
motor2 -1.76 -70.02 -86.13 0.00 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -78.52
motor2 -2.64 -69.43 -84.96 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -77.93
motor2 -2.34 -70.02 -84.37 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.29 -62.70 -76.46
motor2 -2.64 -70.02 -83.79 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.88 -62.40 -75.59
motor2 -3.22 -69.43 -83.20 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.88 -62.70 -74.41
motor2 -3.52 -69.43 -82.32 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 2.05 -62.70 -73.83
motor2 -4.39 -70.02 -82.03 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 2.64 -62.70 -72.66
motor2 -5.27 -69.43 -80.86 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 2.93 -62.70 -71.78
motor2 -6.15 -69.43 -80.27 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 3.22 -62.40 -70.90
motor2 -7.03 -69.43 -79.98 -0.29 -71.19 -123.93
motor1 0.29 -79.39 -125.39 3.81 -62.70 -69.43
motor2 -8.20 -70.02 -79.69 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 4.69 -62.70 -69.14
motor2 -9.67 -69.43 -79.39 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 5.27 -62.40 -68.85
motor2 -10.84 -70.02 -78.81 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 6.74 -62.70 -68.26
motor2 -11.72 -69.43 -78.81 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 7.62 -62.70 -67.68
motor2 -13.18 -69.43 -78.52 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 8.79 -62.70 -67.09
motor2 -13.77 -69.43 -78.22 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 9.38 -62.70 -66.80
motor2 -15.23 -69.43 -78.22 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 10.25 -62.70 -66.50
motor2 -16.11 -69.43 -77.64 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 11.72 -62.70 -66.21
motor2 -17.58 -69.43 -77.34 -0.29 -71.19 -123.93
